File: runner.test
Build ID: f122b4ab434ae849f7753576fe9a2afdab9765ba
Type: alloc_space
Time: 2026-09-17 11:14:47 CST
Active filters:
   focus=runner\.\(\*baselineFixture\)\.drive
Showing nodes accounting for 61.07MB, 98.39% of 62.07MB total
Showing top 60 nodes out of 66
      flat  flat%   sum%        cum   cum%
         0     0%     0%    62.07MB   100%  testing.(*B).runN
    0.50MB  0.81%  0.81%    62.07MB   100%  vortex.local/simulator/timing/runner.(*Kernel).Run
         0     0%  0.81%    62.07MB   100%  vortex.local/simulator/timing/runner.(*baselineFixture).drive
         0     0%  0.81%    62.07MB   100%  vortex.local/simulator/timing/runner.(*baselineFixture).run
         0     0%  0.81%    62.07MB   100%  vortex.local/simulator/timing/runner.BenchmarkRunnerBaseline.func1
         0     0%  0.81%    60.06MB 96.77%  github.com/sarchlab/akita/v5/timing.(*SerialEngine).Run
         0     0%  0.81%    60.06MB 96.77%  github.com/sarchlab/akita/v5/timing.(*SerialEngine).dispatchNext
         0     0%  0.81%    60.06MB 96.77%  vortex.local/simulator/timing/model.(*Clock).Run
         0     0%  0.81%    60.06MB 96.77%  vortex.local/simulator/timing/model.(*edgeDriver).Handle
         0     0%  0.81%    60.06MB 96.77%  vortex.local/simulator/timing/runner.(*MultiRunner).run
         0     0%  0.81%    60.06MB 96.77%  vortex.local/simulator/timing/runner.(*MultiRunner).run.func1
         0     0%  0.81%    60.06MB 96.77%  vortex.local/simulator/timing/runner.(*MultiRunner).step
         0     0%  0.81%    52.56MB 84.67%  testing.(*B).launch
         0     0%  0.81%    39.03MB 62.88%  vortex.local/simulator/timing/model.(*Core).EvaluateExecution
   14.52MB 23.39% 24.20%    14.52MB 23.39%  vortex.local/simulator/timing/model.combine (inline)
         0     0% 24.20%    13.01MB 20.95%  vortex.local/simulator/timing/model.(*Frontend).Evaluate
       4MB  6.45% 30.64%    11.51MB 18.54%  vortex.local/simulator/timing/model.(*STDFPU).Evaluate
         0     0% 30.64%     9.51MB 15.33%  testing.(*B).run1.func1
    0.50MB  0.81% 31.45%     9.01MB 14.52%  vortex.local/simulator/timing/memsys.(*System).Step
         0     0% 31.45%     9.01MB 14.52%  vortex.local/simulator/timing/runner.(*runnerMemory).step
       1MB  1.61% 33.06%     7.51MB 12.09%  vortex.local/simulator/timing/model.(*Pipeline).Evaluate
         0     0% 33.06%     7.01MB 11.30%  vortex.local/simulator/timing/memsys.(*Cache).Step
         0     0% 33.06%     7.01MB 11.29%  vortex.local/simulator/timing/model.(*STDPath).Evaluate
    6.51MB 10.48% 43.54%     6.51MB 10.48%  vortex.local/simulator/timing/model.(*Pipeline).Stages (inline)
    0.50MB  0.81% 44.35%     6.01MB  9.69%  vortex.local/simulator/timing/memsys.(*cacheBank).step
    2.51MB  4.04% 48.38%     6.01MB  9.68%  vortex.local/simulator/timing/effects.(*Concurrent).Observe
    5.51MB  8.88% 57.27%     5.51MB  8.88%  vortex.local/simulator/timing/memsys.(*cacheMSHR).step
    5.01MB  8.07% 65.33%     5.01MB  8.07%  vortex.local/simulator/timing/model.CommitEdge
    4.50MB  7.25% 72.58%        5MB  8.06%  vortex.local/simulator/timing/model.(*Buffer).Evaluate
       2MB  3.22% 75.81%     3.50MB  5.64%  vortex.local/simulator/timing/model.(*Scoreboard).evaluate
         0     0% 75.81%     3.50MB  5.64%  vortex.local/simulator/timing/model.(*ALU).Evaluate
       3MB  4.84% 80.65%        3MB  4.84%  vortex.local/simulator/timing/effects.(*Adapter).validateReport
         0     0% 80.65%     2.50MB  4.03%  vortex.local/simulator/timing/model.(*LSU).Evaluate
    1.50MB  2.42% 83.06%        2MB  3.22%  vortex.local/simulator/timing/model.(*Merge).Evaluate
