File: runner.test
Build ID: f122b4ab434ae849f7753576fe9a2afdab9765ba
Type: alloc_space
Time: 2026-09-17 11:15:03 CST
Active filters:
   focus=runner\.\(\*baselineFixture\)\.drive
Showing nodes accounting for 104.24MB, 95.42% of 109.25MB total
Dropped 20 nodes (cum <= 0.55MB)
      flat  flat%   sum%        cum   cum%
         0     0%     0%   109.25MB   100%  testing.(*B).runN
         0     0%     0%   109.25MB   100%  vortex.local/simulator/timing/runner.(*baselineFixture).drive
         0     0%     0%   109.25MB   100%  vortex.local/simulator/timing/runner.BenchmarkRunnerBaseline.func1
         0     0%     0%   108.24MB 99.08%  vortex.local/simulator/timing/runner.(*Kernel).Run
         0     0%     0%   108.24MB 99.08%  vortex.local/simulator/timing/runner.(*baselineFixture).run
         0     0%     0%   107.24MB 98.16%  github.com/sarchlab/akita/v5/timing.(*SerialEngine).Run
         0     0%     0%   107.24MB 98.16%  github.com/sarchlab/akita/v5/timing.(*SerialEngine).dispatchNext
         0     0%     0%   107.24MB 98.16%  vortex.local/simulator/timing/model.(*Clock).Run
         0     0%     0%   107.24MB 98.16%  vortex.local/simulator/timing/model.(*edgeDriver).Handle
         0     0%     0%   107.24MB 98.16%  vortex.local/simulator/timing/runner.(*MultiRunner).run
         0     0%     0%   107.24MB 98.16%  vortex.local/simulator/timing/runner.(*MultiRunner).run.func1
    0.50MB  0.46%  0.46%   107.24MB 98.16%  vortex.local/simulator/timing/runner.(*MultiRunner).step
         0     0%  0.46%    89.70MB 82.11%  testing.(*B).launch
   15.62MB 14.30% 14.76%    45.68MB 41.81%  vortex.local/simulator/timing/model.(*Core).Resources
         0     0% 14.76%    41.54MB 38.02%  vortex.local/simulator/timing/model.(*Core).EvaluateExecution
   21.53MB 19.71% 34.47%    21.53MB 19.71%  vortex.local/simulator/timing/model.combine (inline)
   13.54MB 12.40% 46.86%    20.05MB 18.35%  vortex.local/simulator/timing/model.(*Frontend).Resources
         0     0% 46.86%    19.54MB 17.89%  testing.(*B).run1.func1
         0     0% 46.86%    15.51MB 14.19%  vortex.local/simulator/timing/model.(*Frontend).Evaluate
       1MB  0.92% 47.78%    11.52MB 10.54%  vortex.local/simulator/timing/memsys.(*System).Step
         0     0% 47.78%    11.52MB 10.54%  vortex.local/simulator/timing/runner.(*runnerMemory).step
       3MB  2.75% 50.53%     8.50MB  7.79%  vortex.local/simulator/timing/model.(*STDFPU).Evaluate
         0     0% 50.53%     7.02MB  6.42%  vortex.local/simulator/timing/memsys.(*Cache).Step
         0     0% 50.53%     7.02MB  6.42%  vortex.local/simulator/timing/memsys.(*cacheBank).step
    7.02MB  6.42% 56.95%     7.02MB  6.42%  vortex.local/simulator/timing/memsys.(*cacheMSHR).step
    3.01MB  2.75% 59.70%     6.51MB  5.96%  vortex.local/simulator/timing/effects.(*Concurrent).Observe
    5.50MB  5.03% 64.73%        6MB  5.49%  vortex.local/simulator/timing/model.(*Buffer).Evaluate
    4.50MB  4.12% 68.86%     4.50MB  4.12%  vortex.local/simulator/timing/model.(*LSU).Resources
    4.50MB  4.12% 72.98%     4.50MB  4.12%  vortex.local/simulator/timing/model.(*STDFPU).Resources
         0     0% 72.98%        4MB  3.66%  vortex.local/simulator/timing/model.(*STDPath).Evaluate
    0.50MB  0.46% 73.44%        3MB  2.75%  vortex.local/simulator/timing/model.(*Pipeline).Evaluate
       1MB  0.92% 74.35%        3MB  2.75%  vortex.local/simulator/timing/model.(*Scoreboard).evaluate
    2.50MB  2.29% 76.65%     2.50MB  2.29%  vortex.local/simulator/timing/model.(*Pipeline).Stages (inline)
    2.50MB  2.29% 78.94%     2.50MB  2.29%  vortex.local/simulator/timing/effects.(*Adapter).validateReport
    2.50MB  2.29% 81.23%     2.50MB  2.29%  vortex.local/simulator/timing/model.(*Dispatch).Resources
       2MB  1.83% 83.06%        2MB  1.83%  vortex.local/simulator/timing/memsys.(*Backend).PreviewResponses
    0.50MB  0.46% 83.52%        2MB  1.83%  vortex.local/simulator/timing/model.(*ALU).Evaluate
