File: kernel-true.test
Build ID: 73478c2fdd0eb85fac89cc51d0be72f1f0a3b64a
Type: alloc_objects
Time: 2026-09-17 09:32:08 CST
Active filters:
   focus=runner\.\(\*baselineFixture\)\.drive
Showing nodes accounting for 2949477, 100% of 2949477 total
      flat  flat%   sum%        cum   cum%
         0     0%     0%    2949477   100%  testing.(*B).runN
         0     0%     0%    2949477   100%  vortex.local/simulator/timing/runner.(*Kernel).Run
         0     0%     0%    2949477   100%  vortex.local/simulator/timing/runner.(*baselineFixture).drive
         0     0%     0%    2949477   100%  vortex.local/simulator/timing/runner.(*baselineFixture).run
         0     0%     0%    2949477   100%  vortex.local/simulator/timing/runner.BenchmarkRunnerBaseline.func1
         0     0%     0%    2944960 99.85%  vortex.local/simulator/timing/model.(*Clock).Run
         0     0%     0%    2944960 99.85%  vortex.local/simulator/timing/runner.(*MultiRunner).Run
         0     0%     0%    2939499 99.66%  github.com/sarchlab/akita/v5/timing.(*SerialEngine).Run
         0     0%     0%    2939499 99.66%  github.com/sarchlab/akita/v5/timing.(*SerialEngine).dispatchNext
         0     0%     0%    2939499 99.66%  vortex.local/simulator/timing/model.(*edgeDriver).Handle
         0     0%     0%    2939499 99.66%  vortex.local/simulator/timing/runner.(*MultiRunner).Run.func1
      1040 0.035% 0.035%    2939499 99.66%  vortex.local/simulator/timing/runner.(*MultiRunner).step
         0     0% 0.035%    2498535 84.71%  testing.(*B).launch
         0     0% 0.035%    2285576 77.49%  go.yaml.in/yaml/v3.(*parser).document
         0     0% 0.035%    2285576 77.49%  go.yaml.in/yaml/v3.(*parser).mapping
         0     0% 0.035%    2285576 77.49%  go.yaml.in/yaml/v3.(*parser).parse
     81923  2.78%  2.81%    2285576 77.49%  go.yaml.in/yaml/v3.(*parser).parseChild (inline)
         0     0%  2.81%    2285576 77.49%  go.yaml.in/yaml/v3.Unmarshal (inline)
         0     0%  2.81%    2285576 77.49%  go.yaml.in/yaml/v3.unmarshal
         0     0%  2.81%    2285576 77.49%  vortex.local/simulator/timing.Number (inline)
