File: multi-false.test
Build ID: 73478c2fdd0eb85fac89cc51d0be72f1f0a3b64a
Type: alloc_space
Time: 2026-09-17 09:30:01 CST
Active filters:
   focus=runner\.\(\*baselineFixture\)\.drive
Showing nodes accounting for 534.03MB, 100% of 534.03MB total
      flat  flat%   sum%        cum   cum%
         0     0%     0%   534.03MB   100%  testing.(*B).runN
         0     0%     0%   534.03MB   100%  vortex.local/simulator/timing/model.(*Clock).Run
         0     0%     0%   534.03MB   100%  vortex.local/simulator/timing/runner.(*MultiRunner).Run
         0     0%     0%   534.03MB   100%  vortex.local/simulator/timing/runner.(*baselineFixture).drive
         0     0%     0%   534.03MB   100%  vortex.local/simulator/timing/runner.(*baselineFixture).run
         0     0%     0%   534.03MB   100%  vortex.local/simulator/timing/runner.BenchmarkRunnerBaseline.func1
         0     0%     0%   533.03MB 99.81%  github.com/sarchlab/akita/v5/timing.(*SerialEngine).Run
         0     0%     0%   533.03MB 99.81%  github.com/sarchlab/akita/v5/timing.(*SerialEngine).dispatchNext
         0     0%     0%   533.03MB 99.81%  vortex.local/simulator/timing/model.(*edgeDriver).Handle
         0     0%     0%   533.03MB 99.81%  vortex.local/simulator/timing/runner.(*MultiRunner).Run.func1
       2MB  0.38%  0.38%   533.03MB 99.81%  vortex.local/simulator/timing/runner.(*MultiRunner).step
         0     0%  0.38%   436.41MB 81.72%  testing.(*B).launch
         0     0%  0.38%   352.56MB 66.02%  vortex.local/simulator/timing/effects.(*Concurrent).Begin (inline)
         0     0%  0.38%   352.56MB 66.02%  vortex.local/simulator/timing/effects.(*Concurrent).begin
    0.50MB 0.094%  0.47%   352.56MB 66.02%  vortex.local/simulator/timing/effects.New
         0     0%  0.47%   352.06MB 65.93%  go.yaml.in/yaml/v3.(*parser).document
         0     0%  0.47%   352.06MB 65.93%  go.yaml.in/yaml/v3.(*parser).mapping
         0     0%  0.47%   352.06MB 65.93%  go.yaml.in/yaml/v3.(*parser).parse
   22.50MB  4.21%  4.68%   352.06MB 65.93%  go.yaml.in/yaml/v3.(*parser).parseChild (inline)
         0     0%  4.68%   352.06MB 65.93%  go.yaml.in/yaml/v3.Unmarshal (inline)
         0     0%  4.68%   352.06MB 65.93%  go.yaml.in/yaml/v3.unmarshal
         0     0%  4.68%   352.06MB 65.93%  vortex.local/simulator/timing.Number (inline)
         0     0%  4.68%   352.06MB 65.93%  vortex.local/simulator/timing.number
         0     0%  4.68%   329.56MB 61.71%  go.yaml.in/yaml/v3.(*parser).sequence
   28.50MB  5.34% 10.02%   200.55MB 37.55%  go.yaml.in/yaml/v3.(*parser).scalar
  177.03MB 33.15% 43.17%   197.05MB 36.90%  go.yaml.in/yaml/v3.(*parser).node
         0     0% 43.17%   104.01MB 19.48%  go.yaml.in/yaml/v3.(*parser).peek
         0     0% 43.17%   104.01MB 19.48%  go.yaml.in/yaml/v3.peek_token
         0     0% 43.17%   104.01MB 19.48%  go.yaml.in/yaml/v3.yaml_parser_fetch_more_tokens
         0     0% 43.17%   104.01MB 19.48%  go.yaml.in/yaml/v3.yaml_parser_fetch_next_token
         0     0% 43.17%   104.01MB 19.48%  go.yaml.in/yaml/v3.yaml_parser_parse
         0     0% 43.17%   104.01MB 19.48%  go.yaml.in/yaml/v3.yaml_parser_state_machine
         0     0% 43.17%   102.51MB 19.20%  go.yaml.in/yaml/v3.yaml_parser_fetch_plain_scalar
    3.50MB  0.66% 43.83%   102.51MB 19.20%  go.yaml.in/yaml/v3.yaml_parser_scan_plain_scalar
   99.51MB 18.63% 62.46%    99.51MB 18.63%  go.yaml.in/yaml/v3.read
         0     0% 62.46%    97.62MB 18.28%  testing.(*B).run1.func1
   33.26MB  6.23% 68.69%    91.86MB 17.20%  vortex.local/simulator/timing/model.(*Core).Resources
         0     0% 68.69%    89.21MB 16.71%  vortex.local/simulator/timing/model.(*Core).Evaluate
         0     0% 68.69%    74.51MB 13.95%  go.yaml.in/yaml/v3.yaml_parser_parse_block_mapping_key
   25.56MB  4.79% 73.47%    38.59MB  7.23%  vortex.local/simulator/timing/model.(*Frontend).Resources
         0     0% 73.47%    25.61MB  4.79%  vortex.local/simulator/timing/runner.(*MultiRunner).observeWarps
   18.50MB  3.46% 76.94%    20.02MB  3.75%  go.yaml.in/yaml/v3.resolve
         0     0% 76.94%       20MB  3.75%  go.yaml.in/yaml/v3.yaml_parser_parse_block_mapping_value
   16.53MB  3.10% 80.03%    16.53MB  3.10%  vortex.local/simulator/timing/model.combine (inline)
    6.51MB  1.22% 81.25%    15.02MB  2.81%  vortex.local/simulator/timing/effects.(*Concurrent).Observe
         0     0% 81.25%    13.51MB  2.53%  vortex.local/simulator/timing/memsys.(*System).Step
         0     0% 81.25%    13.51MB  2.53%  vortex.local/simulator/timing/runner.(*runnerMemory).step
       5MB  0.94% 82.19%    13.51MB  2.53%  vortex.local/simulator/timing/model.(*STDFPU).Evaluate
         0     0% 82.19%    10.50MB  1.97%  vortex.local/simulator/timing/model.(*Frontend).Evaluate
       2MB  0.37% 82.56%     9.01MB  1.69%  vortex.local/simulator/timing/memsys.(*Cache).Step
    7.51MB  1.41% 83.97%     7.51MB  1.41%  vortex.local/simulator/timing/effects.(*Adapter).validateReport
    7.51MB  1.41% 85.38%     7.51MB  1.41%  vortex.local/simulator/timing/model.(*STDFPU).Resources
       7MB  1.31% 86.69%     7.50MB  1.40%  vortex.local/simulator/timing/model.(*Buffer).Evaluate
         0     0% 86.69%        6MB  1.12%  go.yaml.in/yaml/v3.yaml_parser_parse_indentless_sequence_entry
    5.52MB  1.03% 87.72%     5.52MB  1.03%  vortex.local/simulator/timing/runner.stageEvents
    0.50MB 0.094% 87.81%     5.51MB  1.03%  vortex.local/simulator/timing/memsys.(*cacheBank).step
    5.51MB  1.03% 88.84%     5.51MB  1.03%  vortex.local/simulator/timing/model.(*LSU).Resources
    5.01MB  0.94% 89.78%     5.01MB  0.94%  vortex.local/simulator/timing/memsys.(*cacheMSHR).step
    5.01MB  0.94% 90.72%     5.01MB  0.94%  vortex.local/simulator/timing/model.CommitEdge
       2MB  0.37% 91.09%        5MB  0.94%  vortex.local/simulator/timing/model.(*Pipeline).Evaluate
    0.50MB 0.094% 91.19%        5MB  0.94%  vortex.local/simulator/timing/model.(*STDPath).Evaluate
         0     0% 91.19%     4.51MB  0.84%  vortex.local/simulator/timing/effects.(*Adapter).observeAt
       4MB  0.75% 91.94%        4MB  0.75%  vortex.local/simulator/timing/model.(*ALU).Resources
    2.50MB  0.47% 92.41%        4MB  0.75%  vortex.local/simulator/timing/model.(*LSU).Evaluate
       3MB  0.56% 92.97%     3.50MB  0.66%  vortex.local/simulator/timing/model.(*Scoreboard).Resources
    3.50MB  0.66% 93.62%     3.50MB  0.66%  vortex.local/simulator/timing/model.(*Dispatch).Resources
         0     0% 93.62%     3.50MB  0.66%  go.yaml.in/yaml/v3.yaml_parser_parse_flow_sequence_entry
         0     0% 93.62%     3.04MB  0.57%  sync.(*Pool).Get
         0     0% 93.62%     3.04MB  0.57%  sync.(*Pool).pin
    3.04MB  0.57% 94.19%     3.04MB  0.57%  sync.(*Pool).pinSlow
       3MB  0.56% 94.75%        3MB  0.56%  vortex.local/simulator/timing/model.(*Pipeline).Stages (inline)
       3MB  0.56% 95.32%        3MB  0.56%  vortex.local/simulator/timing/model.(*SFU).Resources
         0     0% 95.32%        3MB  0.56%  vortex.local/simulator/timing/model.(*ALU).Evaluate
       1MB  0.19% 95.50%     2.52MB  0.47%  fmt.Sprintf
       2MB  0.37% 95.88%     2.50MB  0.47%  vortex.local/simulator/timing/model.(*Collector).Resources
    0.50MB 0.094% 95.97%     2.50MB  0.47%  vortex.local/simulator/timing/model.(*Fetch).Evaluate
    1.50MB  0.28% 96.25%     2.50MB  0.47%  vortex.local/simulator/timing/model.(*WaitPool).Evaluate
