File: runner.test
Build ID: f32a964895fe6b4e38a16970d6947834c845850f
Type: alloc_space
Time: 2026-09-17 10:59:42 CST
Active filters:
   focus=runner\.\(\*baselineFixture\)\.drive
Showing nodes accounting for 155.41MB, 97.18% of 159.91MB total
Dropped 16 nodes (cum <= 0.80MB)
      flat  flat%   sum%        cum   cum%
   30.74MB 19.22% 19.22%    94.84MB 59.31%  vortex.local/simulator/timing/model.(*Core).Resources
   30.08MB 18.81% 38.03%    44.09MB 27.57%  vortex.local/simulator/timing/model.(*Frontend).Resources
   17.53MB 10.96% 48.99%    17.53MB 10.96%  vortex.local/simulator/timing/model.combine (inline)
    9.51MB  5.95% 54.94%     9.51MB  5.95%  vortex.local/simulator/timing/model.(*STDFPU).Resources
    6.50MB  4.07% 59.01%    15.01MB  9.39%  vortex.local/simulator/timing/model.(*STDFPU).Evaluate
    6.01MB  3.76% 62.76%     6.01MB  3.76%  vortex.local/simulator/timing/model.(*LSU).Resources
    5.51MB  3.45% 66.21%     5.51MB  3.45%  vortex.local/simulator/timing/model.CommitEdge
    5.51MB  3.44% 69.65%     5.51MB  3.44%  vortex.local/simulator/timing/model.(*Pipeline).Stages (inline)
    5.01MB  3.13% 72.78%     5.01MB  3.13%  vortex.local/simulator/timing/memsys.(*cacheMSHR).step
       4MB  2.50% 75.29%     5.50MB  3.44%  vortex.local/simulator/timing/model.(*Scoreboard).Resources
       4MB  2.50% 77.79%        4MB  2.50%  vortex.local/simulator/timing/model.(*Dispatch).Resources
    3.51MB  2.19% 79.98%     6.01MB  3.76%  vortex.local/simulator/timing/effects.(*Concurrent).Observe
       3MB  1.88% 81.86%        4MB  2.50%  vortex.local/simulator/timing/model.(*Buffer).Evaluate
    2.50MB  1.56% 83.42%     2.50MB  1.56%  vortex.local/simulator/timing/model.(*SFU).Resources
    2.50MB  1.56% 84.99%     2.50MB  1.56%  vortex.local/simulator/timing/model.(*Collector).Resources
       2MB  1.25% 86.24%        2MB  1.25%  vortex.local/simulator/timing/model.(*ALU).Resources
       2MB  1.25% 87.49%        2MB  1.25%  fmt.Sprintf
    1.50MB  0.94% 88.43%     1.50MB  0.94%  vortex.local/simulator/timing/effects.(*Adapter).validateReport
